m1,m2,m3,m4,m5,m6,m7,m8
bcc,25,HfNbTaTiZr,4.06,5.57,3.58,1.8,4.4
Compounds,27,TiCoCrNiCuAlY,13.29,16.13,0.666,1.86,6.57
Compounds,27,TiCoCrNiCuAlY0.8,12.6,15.32,0.775,1.85,6.68
Compounds,27,TiCoCrNiCuAlY0.5,11.17,13.87,0.857,1.85,6.85
Compounds,28,AlTiVYZr,10.43,12.32,0.712,2.2,3.8
Ordered bcc+Mo5Si3,29,AlCrMoSiTi,8.47,11.4,4.691,2.2,4.6
bcc+汐,30,FeCoCrNiCuAlMo,5.28,9.1,1.093,1.71,7.57
bcc+汐,30,FeCoCrNiCuAlMo0.8,5.23,8.97,1.082,1.74,7.62
bcc+fcc,30,FeCoCrNiCuAlMo0.2,4.99,8.39,1.153,1.81,7.77
bcc+汐,30,FeCoCrNiCuAlMo0.4,5.09,8.61,1.068,1.78,7.72
bcc+汐,30,FeCoCrNiCuAlMo0.6,5.17,8.8,1.072,1.76,7.67
bcc+Cu+Cr,27,TiCoCrNiCuAl,6.58,10.37,1.276,1.83,7.17
bcc+fcc+汐,31,Co2CrFeNiAlMo0.5,5.31,7.22,1740.364,1.92,7.39
bcc+考,31,Co1.5CrFeNiAlMo0.5,5.78,8.08,17.531,1.92,6.42
bcc+考,31,Co0.5CrFeNiAlMo0.5,5.57,7.66,3.465,1.9,6.9
bcc+考,32,CoCrFe2NiAlMo0.5,5.15,7.03,1746.224,1.92,7.23
bcc+考,32,CoCrFe1.5NiAlMo0.5,5.32,7.27,1741.336,1.92,7.17
bcc+考,32,CoCrFeNiAlMo0.5,5.5,7.53,4.339,1.91,7.09
bcc+考,32,CoCrFe0.6NiAlMo0.5,5.65,7.76,5.768,1.9,7.02
bcc+fcc+unknown,39,CoCrFeNiCuAlMn,4.6,5.39,1.281,1.86,7.71
bcc+fcc+考+unknown,34,TiCoCrFeNiCuVMn,5.17,9.7,1.583,1.75,7.5
fcc+Laves,39,TiCoCrFeNiCu,5.69,10.07,1.226,1.67,8
fcc,33,CoCrFeNiAl0.3Mo0.1,3.79,5.39,19.862,1.82,7.84
fcc,38,Ti0.5CoCrFeNiCu,4.5,8.18,1.135,1.64,8.36
fcc+boride,35,CoCrFeNiCuAl0.5B,14.26,7.07,10.27,1.92,7.46
fcc+boride,35,CoCrFeNiCuAl0.5B0.2,7.73,5.85,0.994,1.77,8.09
fcc+boride,35,CoCrFeNiCuAl0.5B0.6,11.75,6.6,0.992,1.85,7.75
fcc+考,36,Ti0.5Co1.5CrFeNi1.5Mo0.5,5.12,9.29,6.223,1.75,7.92
fcc+考,36,Ti0.5Co1.5CrFeNi1.5Mo0.8,5.3,9.73,5.817,1.71,7.83
bcc+Compounds,37,CrFeNiCuZr,10,12.11,1.053,1.6,7.8
bcc+bcc+Laves,38,Ti1.5CoCrFeNiAl,6.87,11.01,5.78,1.69,7.69
fcc+Laves,38,Ti0.8CoCrFeNiCu,5.31,9.42,1.212,1.66,8.14
fcc,2,CoCrFeNiCu,1.15,4.5,1.027,1.6,8.8
